,State,2010,2011,2012,2013,2014,2015,2016,2017,2010-2017 Average
0,AK,231445.0603582556,228717.8235981307,231169.9563862929,236093.2340342679,241064.5817757009,247966.00077881623,252271.46806853596,253235.3356697819,240245.43258372275
1,AL,155498.90704256843,149301.9875,147113.68977777788,148191.84938888872,150574.61727777764,153680.91172222217,156818.23677777773,161698.77550000005,152859.87187337657
2,AR,123173.78356618133,121320.69168962343,122172.09641873282,124257.33318028777,125861.48278236904,128572.21640648921,131986.36983471073,136485.40977961422,126728.67295725107
3,AZ,184334.02934728988,166374.9310522696,174706.82525217792,198547.77286795064,212104.1670678588,220482.140933058,231891.25108895026,244551.37494268685,204124.06156903025
4,CA,405468.5131899494,384065.70103330154,387856.34657320956,451519.64930235496,502475.1263437322,539876.5043328514,580710.5422644897,622375.1169869676,484293.43750335707
5,CO,264003.7333309917,253901.17121435606,257041.11705178645,273263.9851687974,293601.68059652526,319819.298713537,346463.9358407089,371276.14679613244,297421.3835891044
6,CT,317108.4073585981,302346.6989871908,287283.35910038714,293665.5696306222,297951.4325290436,297853.44325290434,298206.9493595471,302844.5072237115,299657.5459302506
7,DC,540096.8023333335,537638.1106666665,551055.616,600479.4733333335,641462.774666667,662589.3340000001,687560.9666666664,716768.9253333333,617206.5003750001
8,DE,266283.9734100877,249862.26206140337,238235.65515350873,239535.5696271929,247260.7560307016,252221.09512061402,257963.36293859637,263491.7976973684,251856.80900493416
9,FL,206499.70171948712,192611.7914683775,194296.345782468,214569.24248224028,235046.70256569484,250844.82769501398,268080.04517552943,282495.81181460834,230555.55858792746
10,GA,147437.5909137496,136775.3786870503,133736.3633693047,141528.84814148673,152667.6413968829,161233.8226318943,169668.32682853728,178811.71771582754,152732.46121059166
11,HI,574433.8698397436,572568.6663461536,568346.0012820512,594068.8509615385,637900.6666666671,665182.2371794875,689076.0259615389,722487.5689102559,628007.9858934296
12,IA,120749.5242029739,119709.20048647204,120567.61542049849,123138.2239104359,126396.2167466346,130609.912901506,135326.04598160737,140767.38314674146,127158.01534960873
13,ID,177351.04738921105,163963.26712089442,166650.88626834386,177721.95789657568,186641.2292103423,196243.3827742838,209502.8547344516,226574.95230607968,188081.1972125228
14,IL,164226.28047146523,153804.46611032743,147907.78561353975,152562.4722614011,159724.96601238093,164076.67177950143,168859.71279971808,174542.60151230262,160713.11957007958
15,IN,115706.23680652925,113257.44454788516,112941.22634393188,114520.99458130442,117840.07070562399,121599.70364270042,125537.457032369,131652.04034183116,119131.89675027192
16,KS,125806.22153164296,123101.74479166658,122770.92044005115,124775.41693239806,127708.0737138604,132005.55091411548,136909.41113945597,142216.12659438764,129411.68325719729
17,KY,114070.51406338993,112116.86268987875,112121.2862263184,113724.97141150357,116421.98835125439,120328.01318484373,125417.0839733744,131690.13069636474,118236.356324616
18,LA,160461.52123190422,158688.1876344087,159540.86044546834,163332.416589862,167978.23440860203,174427.5620583719,180052.34946236562,184145.78632872505,168578.3647699635
19,MA,371217.4950153402,359920.16659970576,354411.92969063926,375618.5818601852,395870.9070577207,412737.67393196747,430699.8690906652,453607.9032744072,394260.56581507885
20,MD,297463.8651719371,282890.58808536356,276693.6388456885,287403.15379298443,296243.65789701056,297496.76455849275,300652.88767928095,309977.4310523591,293602.74838538957
21,ME,208331.65780700743,203563.01335290828,201151.10493568223,202423.0369127518,203444.75978747223,206589.59130313183,212590.56326901563,220754.7688059287,207356.06202173728
22,MI,130203.885207083,125632.8406342379,126848.9039460718,136308.92681178902,146773.6526023472,153076.40018364252,159890.61215623067,169495.92199677535,143528.89294227218
23,MN,158606.50845275878,149396.2692024721,148429.74803806184,157985.92515204987,167577.22989013145,173299.70288895452,181961.26059446702,192997.5795566026,166281.77797193726
24,MO,139413.46923272155,133361.99217240044,131873.34109650832,134338.35378817198,138455.59863419642,143049.8770132718,149131.79609586383,156811.74342868204,140804.52143272705
25,MS,133460.86682029263,130735.65636822194,129881.83984867601,129790.73034888602,131299.04644808732,135672.10350987795,138165.9441992434,141835.63356452296,133855.22763847603
26,MT,233237.5684663997,226047.39831606208,227011.07167530234,236463.3510362694,246663.51824265992,255245.8063471505,264785.13968048367,276080.20822538866,245691.75774871453
27,NC,182549.19898740738,174101.86292517005,169802.2997645212,171882.0707221352,176260.59921507046,181039.12799581373,187269.24440083737,195902.5638147566,179850.87097821402
28,ND,130063.60450411016,134541.7687265917,141509.06803995007,155710.8923220974,166751.91354556798,177108.8901373283,182047.7200374531,184448.302122347,159022.76992943074
29,NE,128661.84388968322,126767.0068204365,127258.60311259926,132740.35243055545,136989.38752480166,143818.31901041654,150433.95839533745,160667.5449528771,138417.12701708838
30,NH,242309.01604323744,236813.455941869,233027.9762693156,240075.84538263455,248602.89661515827,256891.58903605578,264126.9635761586,277209.859915379,249882.20034747606
31,NJ,369851.6152279099,349209.56082887657,334426.2022854592,338790.38139801327,350839.63458110555,354797.87802393665,357893.73564425745,366446.7298828629,352781.9672340527
32,NM,203149.9768393513,194489.54743589752,191053.85329670325,193237.3479853482,198403.7012820513,200848.13241758235,205571.46538461518,211627.2208791209,199797.65569008375
33,NV,195727.3291072018,177110.35534124624,175704.3151582593,210136.15195351135,237573.82925321435,255330.24035608326,271845.79710682516,291901.51360039547,226916.19148459216
34,NY,281678.1590035471,278607.73567578837,275782.3350849914,282364.76806592033,295820.21106965095,308531.7608416252,316487.4409411278,326871.2546641775,295767.95816835354
35,OH,121037.2300759711,116477.97715378403,114472.7211319105,116269.76006441239,119220.2980407943,123662.63296765936,128283.6613157548,135221.61047369818,121830.73640299807
36,OK,100710.28630756125,99056.2450736877,99825.6814870013,102549.32906938237,105936.25252525246,110228.0173041893,113456.73675277372,117500.31967213147,106157.85852399745
37,OR,228451.17187187175,211265.01121121133,209214.43813813824,225351.9480480483,241699.33063063052,258744.88748748763,282038.1482482483,304420.99154154165,245148.24089714722
38,PA,177699.45239130207,170899.6795709225,167800.33969111057,170366.7218980433,173892.5328920632,176555.35480171887,180012.61111594964,185378.83912500748,175325.6914357647
39,RI,284720.79558948247,272959.9312977099,258717.17111959314,265663.7928329092,277235.67642069544,280370.56530958443,292406.08227311284,308425.17472434253,280062.39869592874
40,SC,178638.3450569358,168506.41914251202,165785.29432367143,168879.39607487927,174264.65555555568,180218.17439613512,187217.3016304346,194820.38357487918,177291.2462193754
41,SD,151958.51005523076,151595.45760233913,153504.72149122803,159224.09381091615,164482.00560428857,170961.72368421048,179010.71076998045,189158.04312865506,164986.90826835608
42,TN,143073.8822313966,139013.99395780943,138195.19698239738,141842.1336616375,147251.15755099192,153141.96720452653,161706.1893336127,172469.44949706623,149586.7463024298
43,TX,157216.20678348985,153248.5795229686,155010.08511150337,163396.54843841898,175341.31767741617,187523.69681533778,198592.21098721933,209615.554387935,174993.0249655361
44,UT,209968.69010950412,197662.45751255282,199330.14223638462,216986.99459250676,228197.34636925496,238093.33429895688,253797.33420239502,274771.95731942804,227351.0320801229
45,VA,233316.81145112435,228111.40323610272,228239.66951482996,234553.8421970148,240481.34123944238,243081.54809958782,246165.28874484356,253197.69757906132,238393.4502577509
46,VT,219238.0771120032,218737.05724388376,218252.89506880735,217999.74512614656,216860.93348623835,218195.95967125375,219627.18558868498,224091.64936926588,219125.43783328548
47,WA,247484.36143675225,228029.2655209166,222382.30342392743,240151.00393018968,255842.7861044493,275719.09818811656,303672.43978150765,337242.076039169,263815.41680312855
48,WI,154229.62555275668,147305.64443372996,144034.73090110347,145805.1545323049,150493.54516232724,154794.03053680487,160917.4260687881,169802.89853208998,153422.88196498816
49,WV,104735.3244640184,103210.56728395066,102878.54012345689,104115.2527006173,106165.21342592593,108537.91859567894,110846.94027777798,112540.742978395,106628.81248122764
50,WY,235568.46940486334,232802.18755328227,235572.9680306905,242182.0296248934,250231.64450127882,259059.95673486788,265457.81734867854,269200.5038363171,248759.447129359
